timestamp,asset_id,site,power_kw,capacity_kw
2024-06-01T00:00,ASSET-000,SolarFarmA,284.29,500
2024-06-01T01:00,ASSET-000,SolarFarmA,310.14,500
2024-06-01T02:00,ASSET-000,SolarFarmA,324.99,500
2024-06-01T03:00,ASSET-000,SolarFarmA,278.79,500
2024-06-01T04:00,ASSET-000,SolarFarmA,198.49,500
2024-06-01T05:00,ASSET-000,SolarFarmA,287.67,500
2024-06-01T06:00,ASSET-000,SolarFarmA,370.97,500
2024-06-01T07:00,ASSET-000,SolarFarmA,345.16,500
2024-06-01T08:00,ASSET-000,SolarFarmA,248.33,500
2024-06-01T09:00,ASSET-000,SolarFarmA,306.41,500
2024-06-01T10:00,ASSET-000,SolarFarmA,303.65,500
2024-06-01T11:00,ASSET-000,SolarFarmA,355.71,500
2024-06-01T12:00,ASSET-000,SolarFarmA,290.17,500
2024-06-01T13:00,ASSET-000,SolarFarmA,235.7,500
2024-06-01T14:00,ASSET-000,SolarFarmA,284.21,500
2024-06-01T15:00,ASSET-000,SolarFarmA,310.64,500
2024-06-01T16:00,ASSET-000,SolarFarmA,301.73,500
2024-06-01T17:00,ASSET-000,SolarFarmA,324.09,500
2024-06-01T18:00,ASSET-000,SolarFarmA,346.44,500
2024-06-01T19:00,ASSET-000,SolarFarmA,358.87,500
2024-06-01T20:00,ASSET-000,SolarFarmA,261.6,500
2024-06-01T21:00,ASSET-000,SolarFarmA,346.27,500
2024-06-01T22:00,ASSET-000,SolarFarmA,241.61,500
2024-06-01T23:00,ASSET-000,SolarFarmA,417.92,500
2024-06-02T00:00,ASSET-000,SolarFarmA,380.1,500
2024-06-02T01:00,ASSET-000,SolarFarmA,285.79,500
2024-06-02T02:00,ASSET-000,SolarFarmA,291.17,500
2024-06-02T03:00,ASSET-000,SolarFarmA,264.81,500
2024-06-02T04:00,ASSET-000,SolarFarmA,272.23,500
2024-06-02T05:00,ASSET-000,SolarFarmA,364.38,500
2024-06-02T06:00,ASSET-000,SolarFarmA,329.67,500
2024-06-02T07:00,ASSET-000,SolarFarmA,239.39,500
2024-06-02T08:00,ASSET-000,SolarFarmA,388.05,500
2024-06-02T09:00,ASSET-000,SolarFarmA,256.19,500
2024-06-02T10:00,ASSET-000,SolarFarmA,277.64,500
2024-06-02T11:00,ASSET-000,SolarFarmA,228.77,500
2024-06-02T12:00,ASSET-000,SolarFarmA,285.45,500
2024-06-02T13:00,ASSET-000,SolarFarmA,287.32,500
2024-06-02T14:00,ASSET-000,SolarFarmA,257.94,500
2024-06-02T15:00,ASSET-000,SolarFarmA,286.29,500
