timestamp,asset_id,site,power_kw,capacity_kw,capacity_factor,date,hour,weekday
2024-06-01T00:00:00.000000,ASSET-000,SolarFarmA,284.29,500,0.5685800000000001,2024-06-01,0,6
2024-06-01T01:00:00.000000,ASSET-000,SolarFarmA,310.14,500,0.6202799999999999,2024-06-01,1,6
2024-06-01T02:00:00.000000,ASSET-000,SolarFarmA,324.99,500,0.64998,2024-06-01,2,6
2024-06-01T03:00:00.000000,ASSET-000,SolarFarmA,278.79,500,0.5575800000000001,2024-06-01,3,6
2024-06-01T04:00:00.000000,ASSET-000,SolarFarmA,198.49,500,0.39698,2024-06-01,4,6
2024-06-01T05:00:00.000000,ASSET-000,SolarFarmA,287.67,500,0.5753400000000001,2024-06-01,5,6
2024-06-01T06:00:00.000000,ASSET-000,SolarFarmA,370.97,500,0.74194,2024-06-01,6,6
2024-06-01T07:00:00.000000,ASSET-000,SolarFarmA,345.16,500,0.69032,2024-06-01,7,6
2024-06-01T08:00:00.000000,ASSET-000,SolarFarmA,248.33,500,0.49666000000000005,2024-06-01,8,6
2024-06-01T09:00:00.000000,ASSET-000,SolarFarmA,306.41,500,0.61282,2024-06-01,9,6
2024-06-01T10:00:00.000000,ASSET-000,SolarFarmA,303.65,500,0.6073,2024-06-01,10,6
2024-06-01T11:00:00.000000,ASSET-000,SolarFarmA,355.71,500,0.7114199999999999,2024-06-01,11,6
2024-06-01T12:00:00.000000,ASSET-000,SolarFarmA,290.17,500,0.5803400000000001,2024-06-01,12,6
2024-06-01T13:00:00.000000,ASSET-000,SolarFarmA,235.7,500,0.4714,2024-06-01,13,6
2024-06-01T14:00:00.000000,ASSET-000,SolarFarmA,284.21,500,0.5684199999999999,2024-06-01,14,6
2024-06-01T15:00:00.000000,ASSET-000,SolarFarmA,310.64,500,0.6212799999999999,2024-06-01,15,6
2024-06-01T16:00:00.000000,ASSET-000,SolarFarmA,301.73,500,0.60346,2024-06-01,16,6
2024-06-01T17:00:00.000000,ASSET-000,SolarFarmA,324.09,500,0.64818,2024-06-01,17,6
2024-06-01T18:00:00.000000,ASSET-000,SolarFarmA,346.44,500,0.6928799999999999,2024-06-01,18,6
2024-06-01T19:00:00.000000,ASSET-000,SolarFarmA,358.87,500,0.71774,2024-06-01,19,6
2024-06-01T20:00:00.000000,ASSET-000,SolarFarmA,261.6,500,0.5232,2024-06-01,20,6
2024-06-01T21:00:00.000000,ASSET-000,SolarFarmA,346.27,500,0.6925399999999999,2024-06-01,21,6
2024-06-01T22:00:00.000000,ASSET-000,SolarFarmA,241.61,500,0.48322000000000004,2024-06-01,22,6
2024-06-01T23:00:00.000000,ASSET-000,SolarFarmA,417.92,500,0.83584,2024-06-01,23,6
2024-06-02T00:00:00.000000,ASSET-000,SolarFarmA,380.1,500,0.7602000000000001,2024-06-02,0,7
2024-06-02T01:00:00.000000,ASSET-000,SolarFarmA,285.79,500,0.5715800000000001,2024-06-02,1,7
2024-06-02T02:00:00.000000,ASSET-000,SolarFarmA,291.17,500,0.5823400000000001,2024-06-02,2,7
2024-06-02T03:00:00.000000,ASSET-000,SolarFarmA,264.81,500,0.52962,2024-06-02,3,7
2024-06-02T04:00:00.000000,ASSET-000,SolarFarmA,272.23,500,0.54446,2024-06-02,4,7
2024-06-02T05:00:00.000000,ASSET-000,SolarFarmA,364.38,500,0.72876,2024-06-02,5,7
2024-06-02T06:00:00.000000,ASSET-000,SolarFarmA,329.67,500,0.65934,2024-06-02,6,7
2024-06-02T07:00:00.000000,ASSET-000,SolarFarmA,239.39,500,0.47878,2024-06-02,7,7
2024-06-02T08:00:00.000000,ASSET-000,SolarFarmA,388.05,500,0.7761,2024-06-02,8,7
2024-06-02T09:00:00.000000,ASSET-000,SolarFarmA,256.19,500,0.51238,2024-06-02,9,7
2024-06-02T10:00:00.000000,ASSET-000,SolarFarmA,277.64,500,0.55528,2024-06-02,10,7
2024-06-02T11:00:00.000000,ASSET-000,SolarFarmA,228.77,500,0.45754,2024-06-02,11,7
2024-06-02T12:00:00.000000,ASSET-000,SolarFarmA,285.45,500,0.5709,2024-06-02,12,7
2024-06-02T13:00:00.000000,ASSET-000,SolarFarmA,287.32,500,0.57464,2024-06-02,13,7
2024-06-02T14:00:00.000000,ASSET-000,SolarFarmA,257.94,500,0.51588,2024-06-02,14,7
2024-06-02T15:00:00.000000,ASSET-000,SolarFarmA,286.29,500,0.5725800000000001,2024-06-02,15,7
2024-06-02T16:00:00.000000,ASSET-000,SolarFarmA,263.63,500,0.52726,2024-06-02,16,7
2024-06-02T17:00:00.000000,ASSET-000,SolarFarmA,307.24,500,0.61448,2024-06-02,17,7
2024-06-02T18:00:00.000000,ASSET-000,SolarFarmA,346.09,500,0.6921799999999999,2024-06-02,18,7
2024-06-02T19:00:00.000000,ASSET-000,SolarFarmA,315.78,500,0.6315599999999999,2024-06-02,19,7
