timestamp,asset_id,power_kw,capacity_kw,capacity_factor,location
2024-06-01 00:00:00,ASSET-001,234.62,500,0.46924,California
2024-06-01 01:00:00,ASSET-001,376.41,500,0.75282,California
2024-06-01 02:00:00,ASSET-001,205.73,500,0.41146,California
2024-06-01 03:00:00,ASSET-001,289.0,500,0.578,California
2024-06-01 04:00:00,ASSET-001,255.94,500,0.51188,California
2024-06-01 05:00:00,ASSET-001,290.74,500,0.58148,California
2024-06-01 06:00:00,ASSET-001,275.0,500,0.55,California
2024-06-01 07:00:00,ASSET-001,284.53,500,0.5690599999999999,California
2024-06-01 08:00:00,ASSET-001,267.35,500,0.5347000000000001,California
2024-06-01 09:00:00,ASSET-001,357.39,500,0.71478,California
2024-06-01 10:00:00,ASSET-001,233.33,500,0.46666,California
2024-06-01 11:00:00,ASSET-001,227.4,500,0.45480000000000004,California
2024-06-01 12:00:00,ASSET-001,338.1,500,0.6762,California
2024-06-01 13:00:00,ASSET-001,256.76,500,0.51352,California
2024-06-01 14:00:00,ASSET-001,311.98,500,0.6239600000000001,California
2024-06-01 15:00:00,ASSET-001,277.55,500,0.5551,California
2024-06-01 16:00:00,ASSET-001,291.17,500,0.5823400000000001,California
2024-06-01 17:00:00,ASSET-001,254.17,500,0.50834,California
2024-06-01 18:00:00,ASSET-001,346.06,500,0.69212,California
2024-06-01 19:00:00,ASSET-001,253.08,500,0.50616,California
2024-06-01 20:00:00,ASSET-001,275.95,500,0.5519,California
2024-06-01 21:00:00,ASSET-001,254.85,500,0.5097,California
2024-06-01 22:00:00,ASSET-001,222.09,500,0.44418,California
2024-06-01 23:00:00,ASSET-001,346.81,500,0.69362,California
2024-06-02 00:00:00,ASSET-001,324.51,500,0.6490199999999999,California
2024-06-02 01:00:00,ASSET-001,439.0,500,0.878,California
2024-06-02 02:00:00,ASSET-001,362.19,500,0.72438,California
2024-06-02 03:00:00,ASSET-001,304.04,500,0.6080800000000001,California
2024-06-02 04:00:00,ASSET-001,312.98,500,0.6259600000000001,California
2024-06-02 05:00:00,ASSET-001,283.94,500,0.5678799999999999,California
2024-06-02 06:00:00,ASSET-001,202.66,500,0.40532,California
2024-06-02 07:00:00,ASSET-001,248.9,500,0.4978,California
2024-06-02 08:00:00,ASSET-001,300.36,500,0.60072,California
2024-06-02 09:00:00,ASSET-001,276.59,500,0.55318,California
2024-06-02 10:00:00,ASSET-001,306.89,500,0.61378,California
2024-06-02 11:00:00,ASSET-001,318.22,500,0.63644,California
2024-06-02 12:00:00,ASSET-001,284.16,500,0.56832,California
2024-06-02 13:00:00,ASSET-001,344.92,500,0.68984,California
2024-06-02 14:00:00,ASSET-001,358.78,500,0.71756,California
2024-06-02 15:00:00,ASSET-001,316.28,500,0.6325599999999999,California
2024-06-02 16:00:00,ASSET-001,225.4,500,0.45080000000000003,California
2024-06-02 17:00:00,ASSET-001,348.46,500,0.69692,California
2024-06-02 18:00:00,ASSET-001,391.93,500,0.78386,California
2024-06-02 19:00:00,ASSET-001,380.14,500,0.76028,California
2024-06-02 20:00:00,ASSET-001,273.84,500,0.54768,California
2024-06-02 21:00:00,ASSET-001,344.17,500,0.6883400000000001,California
2024-06-02 22:00:00,ASSET-001,317.09,500,0.63418,California
2024-06-02 23:00:00,ASSET-001,364.35,500,0.7287,California
2024-06-03 00:00:00,ASSET-001,279.67,500,0.5593400000000001,California
2024-06-03 01:00:00,ASSET-001,298.16,500,0.5963200000000001,California
2024-06-03 02:00:00,ASSET-001,201.2,500,0.4024,California
2024-06-03 03:00:00,ASSET-001,264.79,500,0.52958,California
2024-06-03 04:00:00,ASSET-001,345.12,500,0.69024,California
